2025-10-26 14:55:41 | demo_client | workflow_delay | $0.0500 | success
2025-10-26 14:55:41 | invoice_processing | workflow_delay | $0.0975 | success
2025-10-26T09:55:41.998195 | invoice_processing | workflow_delay | $0.05 | simulated
2025-10-26 14:55:50 | demo_client | api_failure | $0.0500 | success
2025-10-26 14:55:50 | customer_support | api_failure | $0.0918 | success
2025-10-26T09:55:50.013124 | customer_support | api_failure | $0.05 | simulated
2025-10-26 14:55:57 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 14:55:57 | order_processing | queue_pressure | $0.0911 | success
2025-10-26T09:55:57.038459 | order_processing | queue_pressure | $0.05 | simulated
2025-10-26 14:56:07 | demo_client | api_failure | $0.0500 | success
2025-10-26 14:56:07 | invoice_processing | api_failure | $0.0901 | success
2025-10-26T09:56:07.058755 | invoice_processing | api_failure | $0.05 | simulated
2025-10-26 14:56:14 | demo_client | data_error | $0.0500 | success
2025-10-26 14:56:14 | invoice_processing | data_error | $0.0971 | success
2025-10-26T09:56:14.069653 | invoice_processing | data_error | $0.05 | simulated
2025-10-26 14:56:22 | demo_client | workflow_delay | $0.0500 | success
2025-10-26 14:56:24 | demo_client | workflow_delay | $0.0500 | success
2025-10-26 14:56:24 | order_processing | workflow_delay | $0.0981 | success
2025-10-26T09:56:24.084980 | order_processing | workflow_delay | $0.05 | simulated
2025-10-26 14:56:32 | demo_client | data_error | $0.0500 | success
2025-10-26 14:56:32 | invoice_processing | data_error | $0.0980 | success
2025-10-26T09:56:32.101305 | invoice_processing | data_error | $0.05 | simulated
2025-10-26 14:56:40 | demo_client | api_failure | $0.0500 | success
2025-10-26 14:56:40 | customer_support | api_failure | $0.0977 | success
2025-10-26T09:56:40.109861 | customer_support | api_failure | $0.05 | simulated
2025-10-26 14:56:46 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 14:56:46 | invoice_processing | queue_pressure | $0.0976 | success
2025-10-26T09:56:46.130428 | invoice_processing | queue_pressure | $0.05 | simulated
2025-10-26 14:56:55 | demo_client | data_error | $0.0500 | success
2025-10-26 14:56:55 | order_processing | data_error | $0.0953 | success
2025-10-26T09:56:55.139167 | order_processing | data_error | $0.05 | simulated
2025-10-26 14:57:00 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 14:57:00 | order_processing | queue_pressure | $0.0898 | success
2025-10-26T09:57:00.164915 | order_processing | queue_pressure | $0.05 | simulated
2025-10-26 14:57:10 | demo_client | workflow_delay | $0.0500 | success
2025-10-26 14:57:10 | order_processing | workflow_delay | $0.0974 | success
2025-10-26T09:57:10.181220 | order_processing | workflow_delay | $0.05 | simulated
2025-10-26 23:20:21 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 23:21:34 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 23:21:42 | demo_client | api_failure | $0.0500 | success
2025-10-26 23:21:42 | customer_support | api_failure | $0.0879 | success
2025-10-26T18:21:42.272900 | customer_support | api_failure | $0.05 | simulated
2025-10-26 23:21:49 | demo_client | api_failure | $0.0500 | success
2025-10-26 23:21:49 | customer_support | api_failure | $0.0988 | success
2025-10-26T18:21:49.351625 | customer_support | api_failure | $0.05 | simulated
2025-10-26 23:21:54 | demo_client | workflow_delay | $0.0500 | success
2025-10-26 23:21:54 | order_processing | workflow_delay | $0.0904 | success
2025-10-26T18:21:54.424092 | order_processing | workflow_delay | $0.05 | simulated
2025-10-26 23:22:02 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 23:22:02 | invoice_processing | queue_pressure | $0.0932 | success
2025-10-26T18:22:02.508466 | invoice_processing | queue_pressure | $0.05 | simulated
2025-10-26 23:22:10 | demo_client | api_failure | $0.0500 | success
2025-10-26 23:22:10 | customer_support | api_failure | $0.0923 | success
2025-10-26T18:22:10.535885 | customer_support | api_failure | $0.05 | simulated
2025-10-26 23:22:20 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 23:22:20 | invoice_processing | queue_pressure | $0.0909 | success
2025-10-26T18:22:20.567306 | invoice_processing | queue_pressure | $0.05 | simulated
2025-10-26 23:22:26 | demo_client | data_error | $0.0500 | success
2025-10-26 23:22:26 | invoice_processing | data_error | $0.0902 | success
2025-10-26T18:22:26.619055 | invoice_processing | data_error | $0.05 | simulated
2025-10-26 23:22:33 | demo_client | api_failure | $0.0500 | success
2025-10-26 23:22:33 | customer_support | api_failure | $0.0939 | success
2025-10-26T18:22:33.721210 | customer_support | api_failure | $0.05 | simulated
2025-10-26 23:22:47 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 23:23:56 | demo_client | data_error | $0.0500 | success
2025-10-26 23:23:56 | customer_support | data_error | $0.0980 | success
2025-10-26T18:23:56.790358 | customer_support | data_error | $0.05 | simulated
2025-10-26 23:24:03 | demo_client | data_error | $0.0500 | success
2025-10-26 23:24:03 | invoice_processing | data_error | $0.0875 | success
2025-10-26T18:24:03.849161 | invoice_processing | data_error | $0.05 | simulated
2025-10-26 23:24:10 | demo_client | workflow_delay | $0.0500 | success
2025-10-26 23:24:10 | customer_support | workflow_delay | $0.0930 | success
2025-10-26T18:24:10.926020 | customer_support | workflow_delay | $0.05 | simulated
2025-10-26 23:24:11 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 23:24:18 | demo_client | data_error | $0.0500 | success
2025-10-26 23:24:18 | customer_support | data_error | $0.0919 | success
2025-10-26T18:24:18.958016 | customer_support | data_error | $0.05 | simulated
2025-10-26 23:24:24 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 23:24:24 | customer_support | queue_pressure | $0.0896 | success
2025-10-26T18:24:24.035459 | customer_support | queue_pressure | $0.05 | simulated
2025-10-26 23:24:29 | demo_client | workflow_delay | $0.0500 | success
2025-10-26 23:24:29 | customer_support | workflow_delay | $0.0927 | success
2025-10-26T18:24:29.117662 | customer_support | workflow_delay | $0.05 | simulated
2025-10-26 23:24:37 | demo_client | workflow_delay | $0.0500 | success
2025-10-26 23:24:37 | order_processing | workflow_delay | $0.0890 | success
2025-10-26T18:24:37.208220 | order_processing | workflow_delay | $0.05 | simulated
2025-10-26 23:24:42 | demo_client | queue_pressure | $0.0500 | success
2025-10-26 23:24:42 | customer_support | queue_pressure | $0.0974 | success
2025-10-26T18:24:42.288208 | customer_support | queue_pressure | $0.05 | simulated
2025-10-26 23:24:47 | demo_client | data_error | $0.0500 | success
2025-10-26 23:24:47 | customer_support | data_error | $0.0974 | success
2025-10-26T18:24:47.358667 | customer_support | data_error | $0.05 | simulated
2025-10-27 07:18:47 | demo_client | workflow_delay | $0.0500 | success
2025-10-27 07:18:47 | invoice_processing | workflow_delay | $0.0967 | success
2025-10-27T02:18:47.206301 | invoice_processing | workflow_delay | $0.05 | simulated
2025-10-27 07:18:57 | demo_client | queue_pressure | $0.0500 | success
2025-10-27 07:18:57 | order_processing | queue_pressure | $0.0939 | success
2025-10-27T02:18:57.280007 | order_processing | queue_pressure | $0.05 | simulated
2025-10-27 07:19:03 | demo_client | workflow_delay | $0.0500 | success
2025-10-27 07:19:03 | invoice_processing | workflow_delay | $0.0981 | success
2025-10-27T02:19:03.321275 | invoice_processing | workflow_delay | $0.05 | simulated
2025-10-27 07:19:05 | demo_client | queue_pressure | $0.0500 | success
2025-10-27 07:19:12 | demo_client | queue_pressure | $0.0500 | success
2025-10-27 07:19:12 | order_processing | queue_pressure | $0.0965 | success
2025-10-27T02:19:12.349419 | order_processing | queue_pressure | $0.05 | simulated
2025-10-27 07:19:17 | demo_client | data_error | $0.0500 | success
2025-10-27 07:19:17 | order_processing | data_error | $0.0928 | success
2025-10-27T02:19:17.439266 | order_processing | data_error | $0.05 | simulated
2025-10-27 07:19:24 | demo_client | queue_pressure | $0.0500 | success
2025-10-27 07:19:25 | demo_client | queue_pressure | $0.0500 | success
2025-10-27 07:19:25 | invoice_processing | queue_pressure | $0.0932 | success
2025-10-27T02:19:25.468897 | invoice_processing | queue_pressure | $0.05 | simulated
2025-10-27 07:19:34 | demo_client | data_error | $0.0500 | success
2025-10-27 07:19:34 | customer_support | data_error | $0.0925 | success
2025-10-27T02:19:34.546365 | customer_support | data_error | $0.05 | simulated
2025-10-27 07:19:39 | demo_client | api_failure | $0.0500 | success
2025-10-27 07:19:39 | invoice_processing | api_failure | $0.0981 | success
2025-10-27T02:19:39.580804 | invoice_processing | api_failure | $0.05 | simulated
2025-10-27 07:19:42 | demo_client | queue_pressure | $0.0500 | success
2025-10-27 07:19:44 | demo_client | queue_pressure | $0.0500 | success
2025-10-27 07:19:44 | invoice_processing | queue_pressure | $0.0959 | success
2025-10-27T02:19:44.615579 | invoice_processing | queue_pressure | $0.05 | simulated
2025-10-27 07:19:53 | demo_client | workflow_delay | $0.0500 | success
2025-10-27 07:19:53 | invoice_processing | workflow_delay | $0.0942 | success
